sample_name,breadth_classI,breadth_classII,depth_classI,depth_classII
03855000012644_TCRB,2.8387316546966815e-05,0.00013483975359809236,-10.228743,19.941185
03855000012648_TCRB,1.2492387451396806e-05,3.1230968628492015e-05,-14.832062,-5.925171
03855000012683_TCRB,3.621922431204779e-05,4.687193734500303e-05,-0.77651596,5.808447
03855000012684_TCRB,2.0539223069655352e-05,0.00021223863838643864,-14.46298,13.046793
03855000012685_TCRB,2.0184384351046814e-05,3.027657652657022e-05,-15.306583,-13.891546
03855000012687_TCRB,6.305744533269809e-05,0.0002592361641455366,-5.1162777,22.212076
03855000012748_TCRB,4.448398576512456e-05,0.0004948843416370107,-7.001629,73.31266
03855000012873_TCRB,2.96839843031091e-05,1.781039058186546e-05,-8.016739,-13.338667
03855000012874_TCRB,2.9629102890022694e-05,3.555492346802723e-05,-5.8999996,-10.257551
03855000012886_TCRB,1.0200958890135673e-05,2.550239722533918e-05,-16.403149,-13.403149
03855000012921_TCRB,1.26176915176307e-05,3.7853074552892104e-05,-14.187803,-3.0178776
03855000012926_TCRB,1.5837402665962783e-05,0.00023228190576745413,-15.395451,30.96428
03855000012934_TCRB,1.6944509555291346e-05,3.671310403646458e-05,-12.659531,-3.1676788
03855000012962_TCRB,0.0,7.907013520993121e-05,-17.14633,-10.14633
03855000012963_TCRB,2.1218358123448406e-05,5.092405949627618e-05,-9.404322,7.765604
03855000012964_TCRB,9.334627735045926e-06,2.8003883205137778e-05,-16.684523,-12.684523
03855000012977_TCRB,4.389558703031722e-05,0.00020484607280814703,-9.717896,12.925961
03855000012979_TCRB,8.286514526259965e-05,0.00015744377599893932,-4.425436,2.8033829
03855000012984_TCRB,2.718220230203051e-05,3.6242936402707344e-05,-8.320659,-7.1280136
03855000012985_TCRB,0.0,3.0184123151222456e-05,-18.715637,-15.715637
03855000012988_TCRB,1.03005706516141e-05,3.09017119548423e-05,-16.144842,-12.144842
03855000012996_TCRB,2.614297067804409e-05,3.137156481365291e-05,-3.569788,-5.3246756
03855000013059_TCRB,1.4635931211123307e-05,5.854372484449323e-05,-12.153777,1.8462238
03855000013069_TCRB,1.3035357476056841e-05,5.2141429904227364e-05,-12.832775,13.359516
03855000013085_TCRB,5.607797642622066e-05,0.00017173880280530078,6.4229774,42.737103
03855000013086_TCRB,1.643979746169527e-05,2.054974682711909e-05,-11.561819,-10.654929
03855000013102_TCRB,3.2380623434936534e-05,3.2380623434936534e-05,-12.06212,-11.325155
03855000013112_TCRB,2.441783804461953e-05,0.00044359072447725477,-13.192396,104.72046
03855000013115_TCRB,4.4032421410595555e-05,0.0003590335899633176,-0.28784943,101.00687
03855000013118_TCRB,1.0702512950040669e-05,9.632261655036602e-05,-15.714716,-8.129753
03855000013123_TCRB,0.00012517658840149496,0.00013232953631015182,20.002277,19.358418
03855000013142_TCRB,1.0787341055271639e-05,5.66335405401761e-05,-12.112125,2.905796
03855000013144_TCRB,3.0300173720996e-05,3.0300173720996e-05,-9.704555,-8.704555
03855000013148_TCRB,1.039176971838304e-05,5.888669507083723e-05,-16.059896,3.9953861
03855000013164_TCRB,3.2283355624221744e-05,0.00029516210856431305,-6.05637,35.685783
03855000013200_TCRB,1.903909678524851e-05,4.1251376368038435e-05,-9.651041,-0.4367218
03855000013214_TCRB,7.88931582100019e-05,0.00016655222288778179,13.178843,41.15612
03855000013246_TCRB,2.573832215554771e-05,3.6769031650782445e-05,-12.383287,-8.96825
03855000013273_TCRB,2.7150377797507053e-05,0.00011946166230903102,-5.5812073,25.688257
03855000013296_TCRB,8.817224447959088e-05,0.00019287678479910504,-1.4348278,17.472067
03855000013299_TCRB,8.546829980760135e-05,0.00011775632417936188,32.568703,45.627594
03855000013301_TCRB,1.4456089627755692e-05,4.3368268883267074e-05,-12.57642,-1.1613827
03855000013302_TCRB,2.0073468896159946e-05,4.588221461979416e-05,-12.087589,-3.0875893
03855000013305_TCRB,3.6297640653357535e-05,5.305039787798409e-05,-6.122408,2.19952
03855000013310_TCRB,5.9502204556678825e-06,0.0001725563932143686,-17.195665,15.957964
03855000013313_TCRB,3.078495477690143e-05,0.00043098936687662007,-11.029028,58.989456
03855000013317_TCRB,8.021581023910254e-05,0.00012478014926082617,21.119005,26.000357
03855000013330_TCRB,3.530761761850119e-05,5.8846029364168654e-05,-8.296791,-4.2788706
03855000013342_TCRB,4.709635285843464e-05,0.0001852456545765096,-5.681082,44.2799
03855000013348_TCRB,1.8070910251828175e-05,5.822848858922412e-05,-10.41572,12.094053
03855000013406_TCRB,1.7098839843716603e-05,6.839535937486641e-05,-14.046389,-0.30942345
03855000013413_TCRB,4.121128200056047e-05,0.00011264417080153196,-4.2079735,21.792025
03855000013414_TCRB,2.2187981510015407e-05,9.368258859784283e-05,-10.386082,15.78384
03855000013420_TCRB,7.284879776718435e-05,0.00014114454567391968,-0.07998276,15.757366
03855000013433_TCRB,3.897441607973052e-05,0.00015589766431892209,-8.577644,16.93213
03855000013434_TCRB,3.406806799986373e-05,5.265065054524394e-05,-6.1630774,-1.7480392
03855000013472_TCRB,1.2361499697143258e-05,3.708449909142977e-05,-14.813421,-9.965425
03855000013477_TCRB,6.855372212434274e-05,0.00023308265522276533,3.54537,52.225067
03855000013479_TCRB,2.000715255703914e-05,0.00015505543231705336,-10.34405,44.031967
03855000013485_TCRB,7.796115975021244e-06,0.00011304368163780804,-14.979461,11.137997
03855000013490_TCRB,1.5031114406822122e-05,4.509334322046637e-05,-15.327805,-9.327805
03855000013496_TCRB,1.1809024456489649e-05,7.971091508130513e-05,-15.13224,18.195763
03855000013498_TCRB,1.8027762754642147e-05,1.8027762754642147e-05,-17.679459,-17.679459
03855000013522_TCRB,6.025715901400747e-05,2.3175830390002874e-05,-5.0818825,-13.666845
03855000013534_TCRB,1.7779674276367258e-05,0.0004444918569091814,-15.21129,60.50621
